URL,intencao,title,description,H1,links_relacionados
"/aranha-armadeira.html","Informativo · praga","Aranha-Armadeira: Como Prevenir e o Controle Profissional da Bioforte","A aranha-armadeira (Phoneutria) é uma das espécies mais perigosas do Brasil. Saiba identificar, prevenir e contratar o controle profissional de aranhas em Franca, Ribeirão Preto, Uberaba e Guarapuava.","Aranha Armadeira","quemSomos.html;nossoTime.html;certificacoes.html;depoimentoClientes.html;carreira.html;duvidasFrequentes.html"
"/areaCliente.html","Utilitário / acesso","Área do Cliente | Bioforte","Acesse a área do cliente Bioforte para acompanhar atendimentos, orçamentos e serviços de controle de pragas.","Área do Cliente","quemSomos.html;nossoTime.html;certificacoes.html;depoimentoClientes.html;carreira.html;duvidasFrequentes.html"
"/barata-americana.html","Informativo · praga","Barata Americana: Como Eliminar e Prevenir | Bioforte","A barata americana vive em esgotos e invade cozinhas. Saiba identificar, prevenir e contratar o controle profissional de baratas em Franca, Ribeirão Preto, Uberaba e Guarapuava.","Barata Americana","quemSomos.html;nossoTime.html;certificacoes.html;depoimentoClientes.html;carreira.html;duvidasFrequentes.html"
"/barata-germanica.html","Informativo · praga","Barata Germânica em Cozinhas e Restaurantes: Controle | Bioforte","A barata germânica é a praga mais comum em cozinhas, restaurantes e padarias. Entenda como prevenir infestações e o controle profissional da Bioforte em residências e empresas.","Barata Germânica","quemSomos.html;nossoTime.html;certificacoes.html;depoimentoClientes.html;carreira.html;duvidasFrequentes.html"
"/carrapato.html","Informativo · praga","Controle de Carrapatos no Ambiente | Bioforte","Carrapatos podem transmitir doenças a humanos e animais. Veja como identificar, prevenir e solicitar o serviço profissional de controle de carrapatos da Bioforte.","Carrapato","quemSomos.html;nossoTime.html;certificacoes.html;depoimentoClientes.html;carreira.html;duvidasFrequentes.html"
"/carreira.html","Institucional","Trabalhe Conosco | Bioforte","Faça parte da equipe Bioforte. Envie seu currículo e atue em um time especializado em controle de pragas urbanas e saneamento ambiental.","Trabalhe Conosco","quemSomos.html;nossoTime.html;certificacoes.html;depoimentoClientes.html;carreira.html;duvidasFrequentes.html"
"/certificacoes.html","Institucional","Certificações | Bioforte Saneamento Ambiental","A Bioforte possui certificações e profissionais habilitados para atuar no controle de pragas urbanas com segurança, qualidade e responsabilidade.","Certificações","quemSomos.html;nossoTime.html;certificacoes.html;depoimentoClientes.html;carreira.html;duvidasFrequentes.html"
"/contato.html","Institucional","Contato | Bioforte Saneamento Ambiental","Fale com a Bioforte em Franca (16) 3723-0808, Ribeirão Preto (16) 3635-2034 e Uberaba (34) 99298-6711. Solicite um orçamento gratuito.","Contato","quemSomos.html;nossoTime.html;certificacoes.html;depoimentoClientes.html;carreira.html;duvidasFrequentes.html"
"/controle-de-pragas-franca.html","Comercial · local","Dedetização em Franca e Controle de Pragas | Bioforte","Dedetização e controle de pragas em Franca/SP: desinsetização, desratização, descupinização e controle integrado. Bioforte com mais de 30 anos, equipe certificada. Rua João de Goes Conrado, 2525 - São José. Orçamento grátis: (16) 3723-0808.","Dedetização e Controle de Pragas em Franca","quemSomos.html;nossoTime.html;certificacoes.html;depoimentoClientes.html;carreira.html;duvidasFrequentes.html"
"/controle-de-pragas-guarapuava.html","Comercial · local","Dedetização em Guarapuava | Bioforte","Dedetização e controle de pragas em Guarapuava/PR: desinsetização, desratização, descupinização e controle integrado. Bioforte com mais de 30 anos, equipe certificada e produtos registrados. Atendimento em Guarapuava e região.","Dedetização e Controle de Pragas em Guarapuava","quemSomos.html;nossoTime.html;certificacoes.html;depoimentoClientes.html;carreira.html;duvidasFrequentes.html"
